RouteCode,RouteStart,RouteEnd,llm_generated
738,INDAIATUBA (TERMINAL RODOVIARIO VEREADOR MAURILIO GONCALVES PINTO),VINHEDO (TERMINAL RODOVIARIO DE VINHEDO),"oi, como eu faco pra chegar do terminal rodoviario vereador municipal de indaiatuba ate o terminal rodoviario de vinho?"
738VP1,INDAIATUBA (TERMINAL RODOVIARIO VEREADOR MAURILIO GONCALVES PINTO),CAMPINAS (AEROPORTO INTERNACIONAL DE VIRACOPOS),"oi, como eu faco pra chegar no terminal rodoaviario vereador maurilio goncalves pinto em campinas?"
739,HORTOLANDIA (TERMINAL METROPOLITANO DE HORTOLANDIA),CAMPINAS (CAMPINAS SHOPPING CENTER),"oi, como eu faco pra chegar no terminal metropolitano de hortolandia e depois no campinhas shopping center?"
740,SUMARE (JARDIM JOAO PAULO II),CAMPINAS (CAMPINAS SHOPPING CENTER),como eu faco pra chegar de sumare (jardim joao paulo ii) em campinas (campinas shopping center)?
741,HORTOLANDIA (TERMINAL METROPOLITANO HORTOLANDIA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar do terminal metropolitano hortolandia em campinas?"
742,HORTOLANDIA (TERMINAL METROPOLITANO DE HORTOLANDIA),CAMPINAS (TERMINAL CAMPO GRANDE),"oi, como eu faco pra chegar no terminal metropolitano de hortolandia em campinas?"
744,COSMOPOLIS (TERMINAL RODOVIARIO DE COSMOPOLIS),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra sair do terminal rodoviario de cospinas e ir para a campina?"
745,HORTOLANDIA (TERMINAL METROPOLITANO DE HORTOLANDIA),MONTE MOR (TERMINAL RODOVIARIO DE MONTE MOR),"oi, como eu faco pra chegar no terminal metropolitano de hortolanda em monta mor?"
746,HORTOLANDIA (TERMINAL METROPOLITANO HORTOLANDIA),CAMPINAS (UNICAMP),"oi, como eu faco pra chegar no unicamp saindo do terminal metropolitano hortolandia?"
749,SUMARE (TERMINAL RODOVIARIO DE SUMARE),AMERICANA (TERMINAL METROPOLITANO DE AMERICANA),como eu faco pra ir do sumare ate a america?
750,SANTA BARBARA D OESTE (RODOTERMINAL DE SANTA BARBARA D OESTE),AMERICANA ( TERMINAL METROPOLITANO DE AMERICANA),"oi, como eu faco pra chegar na americaira saindo de santa barbara d oeste?"
751,SUMARE (CEPAP),HORTOLANDIA (JARDIM AMANDA),"oi, como eu faco pra sair do sumare (cepap) e chegar em hortolandia (jardim amanda)?"
752,HORTOLANDIA (NOVA AMERICA),SUMARE (CECAP),"oi, como eu faco pra chegar em sumare saindo de hortolandia?"
755,SUMARE (CECAP),HORTOLANDIA (JARDIM MINDA),como eu faco pra chegar do sumare (cecap) em hortolandia?
756,SUMARE (CECAP),NOVA ODESSA (MARAJUARA),como eu faco pra chegar de sumare (cebrap) em nova odesia?
758,ITATIBA (TERMINAL RODOVIARIO ELIAS BAPTISTA ALVES),MORUNGABA (BAIRRO BUENOPOLIS),"oi, como eu faco pra ir do terminal rodoviario elias batista alves ate morungaba?"
800,MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE),GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO),"oi, tudo bem? preciso saber como chego de mogi das cruzes (terminal rodoviario geraldo scavone) ate guarulhos (aeroporto internacional de sao paulo)?"
802,GUARULHOS (TERMINAL METROPOLITANO TABOAO),SAO PAULO (METRO TUCURUVI),"oi, tudo bem? to em guarulhos e preciso saber como chego em sao paulo."
806,ITAPECERICA DA SERRA (JARDIM MONTEZANO),ITAPECERICA DA SERRA (JARDIM DAS OLIVEIRAS),"oi, como eu faco pra sair do jardim montezano e chegar no jardim das oliveiras?"
807,ARUJA (PARQUE RODRIGO BARRETO),SAO PAULO (METRO ARMENIA),"como eu faco pra pegar um onibus saindo do parque rodolfo barra, indo pra sao paulo?"
808,JUQUITIBA (FAZENDA SAMA),ITAPECERICA DA SERRA (VALO VELHO),"oi, como eu faco pra chegar em itapecerica da serra saindo de juabiga?"
809,PIRAPORA DO BOM JESUS (JARDIM BOM JESUS),BARUERI (ALDEIA DA SERRA),como eu faco pra chegar do jardim bom jesus ate o barueri?
810,SANTA ISABEL (JARDIM ELDORADO),ARUJA (CENTRO),como eu faco pra ir de santa isabel (jardim eldorado) em direcao a aruja?
811,EMBU-GUACU (CHACARA FLORIDA),ITAPECERICA DA SERRA (VALO VELHO),"oi, como eu faco pra ir de embu-guacuba para o vale do seguro?"
814,BARUERI (VALE DO SOL),SANTANA DE PARNAIBA (RESIDENCIAL BURLE MARX),"oi, como eu faco pra chegar na santana de paraiba, que fica perto do vale do sol, saindo de barueri?"
815,ITAPEVI (CIDADE DA SAUDE),EMBU DAS ARTES (CENTRO),"oi, to em itapevi (cidade da saude) e queria saber como chego em embu das artes (centro)?"
816,ARUJA (CENTRO),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar em sao paulo saindo de arju?"
818,BARUERI (ALPHAVILLE),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar de barueri (alphaville) em sao paulo?"
819,OSASCO (TERMINAL SANTA MARIA),BARUERI (ALPHAVILLE 3 / BRADESCO),como eu faco pra chegar do terminal santa maria em barueri?
820,SANTA ISABEL (JARDIM ELDORADO),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra ir de jardim eldorado para sao paulo?"
821,BARUERI (SHOPPING TAMBORE),COTIA (JARDIM ROSEMARY),"oi, como eu faco pra sair do barueri e ir para o cotia?"
822,MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA),SAO PAULO (METRO PARADA INGLESA),"oi, como eu faco pra chegar em sao paulo saindo de maora?"
823,OSASCO (RECANTO DAS ROSAS),SAO PAULO (METRO VILA SONIA),como eu faco pra chegar de osasco em sao paulo?
824,PIRAPORA DO BOM JESUS (JARDIM BOM JESUS),BARUERI (CENTRO),como eu faco pra sair do pirapora do bom jesus (jardim bom jesus) e ir pra barueri?
824VP1,PIRAPORA DO BOM JESUS (PARQUE PAIOL),BARUERI (CENTRO),como eu faco pra chegar do parque paiol em pirapora do bom jesus?
826,POA (TERMINAL RODOVIARIO PEDRO FAVA - CIDADE KEMEL),GUARULHOS (CENTRO),"oi, como eu faco pra chegar no terminal rodoviario pedro ava (cidade kemel) em guarulhos?"
827,SANTANA DE PARNAIBA (TERMINAL RODOVIARIO DA FAZENDINHA),SAO PAULO (METRO PARAISO),"oi, como eu faco pra chegar em sao paulo saindo da fazendinha?"
828,JANDIRA (JARDIM NOSSA SENHORA DE FATIMA),SANTANA DE PARNAIBA (TERMINAL RODOVIARIO ALPHAVILLE),"oi, como eu faco pra chegar de jardim nossa senhora de fatima ate o terminal rodoaviario alphaville?"
829,ITAPECERICA DA SERRA (PARQUE PARAISO),TABOAO DA SERRA (CENTRO),"oi, como eu faco pra ir do parque paraiso ate o centro?"
831,CARAPICUIBA (JARDIM PLANALTO),BARUERI (ALPHAVILLE),"oi, como eu faco pra chegar em barueri partindo do jardim planalto?"
833,ITAPEVI (COHAB),SANTANA DE PARNAIBA (COLINAS DA ANHANGUERA),preciso saber como chegar de itapevi (cohab) em santana de paranaiba.
834,TABOAO DA SERRA (JARDIM SAINT MORITZ),SAO PAULO (METRO CAMPO LIMPO),como eu faco pra ir de taboao da serra (jardim saint moritz) ate sao paulo (metro campo limpo)?
835,SAO PAULO (METRO VILA SONIA),BARUERI (ALPHAVILLE/GREEN VALLEY),como eu faco pra chegar do metro vila sonia em barueri?
836,SUZANO (JARDIM BOA VISTA),ITAQUAQUECETUBA ( ESTACAO CPTM ARACARE),"oi, como eu faco pra ir de jardim boa vista pra estacao capitanio araucaria?"
838,SAO PAULO (METRO MORUMBI),BARUERI (ALPHAVILLE / GREEN VALLEY),"oi, como eu faco pra chegar do metro morumbi em barueri?"
838EX1,SAO PAULO (METRO MORUMBI),BARUERI (ALPHAVILLE / GREEN VALLEY),"oi, como eu faco pra chegar do metro morumbi em barueri?"
840,OSASCO (TERMINAL METROPOLITANO LUIZ BORTOLOSSO - KM 21),SAO PAULO (METRO BUTANTA),como eu faco pra chegar no metro butanaca saindo do terminal metropolitano luiz bortolo?
841,EMBU DAS ARTES (JARDIM VALO VERDE),SAO PAULO (METRO VILA SONIA),"como eu faco pra ir de embu das artes ate a vila sonia, que fica em sao paulo?"
842,COTIA (MIRANTE DA MATA),SAO PAULO (METRO MORUMBI),"oi, tudo bem? to em cotia (mirante da mata) e preciso saber como chego de sao paulo (metro morumbi)?"
843,POA (JARDIM NOVA POA),SUZANO (ESTACAO CPTM SUZANO),"oi, como eu faco pra chegar do jardim nova poa ate suzano?"
845,TABOAO DA SERRA (CONDOMINIO JOAO CANDIDO),SAO PAULO (METRO CAMPO LIMPO),"oi, como eu faco pra chegar em sao paulo saindo do taboa da serra?"
850,OSASCO (TERMINAL METROPOLITANO LUIZ BORTOLOSSO - KM 21),SAO PAULO (LAPA),"oi, como eu faco pra chegar em sao paulo saindo do terminal metropolitano luz botelho?"
850EX1,OSASCO (TERMINAL METROPOLITANO  LUIZ BORTOLOSSO - KM 21),SAO PAULO (LAPA),"como eu faco pra sair do terminal metropolitano luiz bortolosso, em osasco, e chegar em sao paulo?"
852,FRANCISCO MORATO (CENTRO),SANTANA DE PARNAIBA (TERMINAL RODOVIARIO DA FAZENDINHA),como eu faco pra ir de francisco morato ate a santana de parnaiba?
855,DIADEMA (TABOAO),SAO PAULO (JABAQUARA),"como eu faco pra ir de diadema ate sao paulo, sao pau?"
900,SAO VICENTE (JOQUEI CLUB),SANTOS (CENTRO),"oi, como eu faco pra chegar de sao vicente (joquei club) em santos?"
901,SAO VICENTE (VILA MARGARIDA),SANTOS (CENTRO),"oi, como eu faco pra chegar em santos partindo da vila margarida?"
901BI1,SAO VICENTE (ESPLANADA DOS BARREIROS),SANTOS (CENTRO),"oi, como eu faco pra sair da avenida dos barreiros e chegar em santos?"
902,SAO VICENTE (CONJUNTO TANCREDO NEVES),SANTOS (CENTRO),"oi, como eu faco pra chegar em santos partindo do conjunto tancredo neves?"
903,SAO VICENTE (JAPUI),SANTOS (PRACA DOS ANDRADAS),"oi, como eu faco pra ir de sao paulo para santos dumont?"
904,PRAIA GRANDE (TERMINAL RODOVIARIO E URBANO TUDE BASTOS),SANTOS (CENTRO),"oi, como eu faco pra chegar em santos, saindo da praia grande no terminal rodoviario e urbano de botbu?"
905,PERUIBE (TERMINAL RODOVIARIO DE PERUIBE),SAO VICENTE (TERMINAL BARREIROS),como eu faco pra ir do terminal rodoviario de perube para o terminal barreiros?
906,CUBATAO (FABRIL),SANTOS (PONTA DA PRAIA),"oi, como eu faco pra chegar em santos (fabril) saindo de cubatao (fabril)?"
907,SAO VICENTE (CONJUNTO TANCREDO NEVES),SANTOS (CENTRO),"oi, como eu faco pra ir de sao vicente (conjunto tancredo neves) em santos para santos?"
908,SAO VICENTE (PARQUE BITARU),SANTOS (PONTA DA PRAIA),como eu faco pra ir de sao vicente pra ponta da praia?
909,GUARUJA (FERRY BOAT),CUBATAO (JARDIM CASQUEIRO),"oi, como eu faco pra chegar no jardim casqueiro saindo do ferry boat em guaraju?"
910,PERUIBE (TERMINAL RODOVIARIO DE PERUIBE),SANTOS (TERMINAL RODOVIARIO DE SANTOS),como eu faco pra ir do terminal rodoviario de peruibe pra santos?
911,PRAIA GRANDE (TERMINAL RODOVIARIO E URBANO TATICO FRANCISCO GOMES DA SILVA),CUBATAO (USIMINAS),como eu faco pra chegar de praia grande no cubatao?
911DV1,PRAIA GRANDE (TERMINAL RODOVIARIO E URBANO TATICO FRANCISCO GOMES DA SILVA),CUBATAO (USIMINAS),"oi, como eu faco pra ir do terminal rodoviario e urbano tatico francisco gomes da silva ate cubatao?"
912,PRAIA GRANDE (TERM. ROD. E URBANO TATICO FRANCISCO GOMES DA SILVA),CUBATAO (USIMINAS),"oi, preciso saber como chegar do term. rod. e urbano tecnico francisco gomes da silva ate cubatao."
912BI1,PRAIA GRANDE (TERMINAL RODOVIARIO E URBANO TATICO FRANCISCO GOMES DA SILVA),CUBATAO (CENTRO),como eu faco pra ir da praia grande ate cubatao?
912DV1,PRAIA GRANDE (TERM.ROD. E URBANO TATICO FRANCISCO GOMES DA SILVA),CUBATAO (USIMINAS),"oi, tudo bem? to na praia grande e preciso saber como chegar em cubatao."
913,SAO VICENTE (PARQUE DAS BANDEIRAS GLEBA II),CUBATAO (USIMINAS),"oi, como eu faco pra ir do parque das bandeiras gleba ii ate cubatao?"
914,SAO VICENTE (HUMAITA),CUBATAO (USIMINAS),como eu faco pra ir do centro de sao vicente (humaita) ate cubatao (usiminas)?
915,SAO VICENTE (NAUTICA III),SANTOS (CANAL 4),"oi, como eu faco pra ir da nautica iii em sao paulo ate santos?"
917,CUBATAO (USIMINAS),SANTOS (PONTA DA PRAIA),"oi, como eu faco pra chegar em santos (usiminas) saindo de cubatao?"
918,CUBATAO (JARDIM  CARAGUATA),SANTOS (PONTA DA PRAIA),como eu faco pra chegar em santos saindo do jardim caraguata?
919,CUBATAO (JARDIM NOVA REPUBLICA),SANTOS (PONTA DA PRAIA),como eu faco pra ir do jardim nova republica para ponta da praia?
921,ITANHAEM (TERMINAL RODOVIARIO DE ITANHAEM),SANTOS (TERMINAL RODOVIARIO DE SANTOS),"oi, como eu faco pra pegar o onibus do terminal rodoviario de itanhaem e ir ate o terminal rodoviario de santos?"
925,SAO VICENTE (NAUTICA III),SANTOS (CENTRO),como eu faco pra ir da sao vicente (nautica iii) em santos para santos?
927,PRAIA GRANDE (JARDIM SAMAMBAIA),SANTOS (PONTA DA PRAIA),"como eu faco pra chegar em ponta da praia, saindo de praia grande no jardim samambaia?"
928,SAO VICENTE (HUMAITA),PRAIA GRANDE (TERMINAL RODOVIARIO E URBANO TUDE BASTOS),"como eu faco pra ir de sao vicente (humaita) pra praia grande, hein?"
929,BERTIOGA (RIVIERA DE SAO LOURENCO),GUARUJA (TERMINAL FERRY BOAT),"oi, como eu faco pra chegar em guaraju saindo da riviera de sao lourenco?"
930,GUARUJA (FERRY BOAT),BERTIOGA (RIVIERA DE SAO LOURENCO),"oi, como eu faco pra chegar em bertioga saindo do ferryboat em guara?"
931,PRAIA GRANDE (JARDIM SAMAMBAIA),SANTOS (PAQUETA),como eu faco pra ir de praia grande ate santos?
932,SAO VICENTE (PARQUE DAS BANDEIRAS GLEBA II),SANTOS (PAQUETA),como eu faco pra ir do parque das bandeiras gleba ii pra santos?
933,SAO VICENTE (HUMAITA),SANTOS (PAQUETA),"oi, como eu faco pra ir de sao vicente ate santos?"
933BI1,SAO VICENTE (PARQUE CONTINENTAL),SANTOS (PAQUETA),"oi, como eu faco pra ir do parque continental pra pacotes?"
933DV1,SAO VICENTE (HUMAITA),SANTOS (PAQUETA),"oi, como eu faco pra ir de sao vicente a santos?"
934,PRAIA GRANDE (TERMINAL RODOVIARIO E URBANO TATICO FRANCISCO GOMES DA SILVA),SANTOS (PAQUETA),"oi, como eu faco pra ir do terminal rodoviario e urbano tatico gomnes para santos?"
934EX1,PRAIA GRANDE (TERMINAL RODOVIARIO E URBANO TATICO FRANCISCO GOMES DA SILVA),SANTOS (PAQUETA),"oi, como eu faco pra chegar em santos partindo da praia grande?"
936,CUBATAO (COTA 200),SANTOS (PONTA DA PRAIA),como eu faco pra ir de cubatao (cota 200) para santos?
937,PRAIA GRANDE (TERM ROD. URB. TATICO FRANCISCO GOMES DA SILVA),SAO VICENTE (SAMARITA),"oi, como eu faco pra chegar no sao vicente saindo da praia grande?"
938,CUBATAO (VILA ESPERANCA),SAO VICENTE (ITARARE),"oi, como eu faco pra chegar em sao vicente saindo da vila esperanca?"
939,SAO VICENTE (PARQUE CONTINENTAL),SANTOS (PAQUETA),"oi, como eu faco pra chegar em santos partindo de sao vicente?"
940,SAO VICENTE (HUMAITA),SANTOS (PONTA DA PRAIA),como eu faco pra ir de sao vicente pra ponta da praia?
941,PRAIA GRANDE (JARDIM MELVI),SANTOS (CONJUNTO ATHIE JORGE CURY),como eu faco pra chegar em santos saindo de praia grande?
942,SAO VICENTE (HUMAITA),SANTOS (PONTA DA PRAIA),"oi, como eu faco pra chegar em santos depois de humaita?"
942VP1,SAO VICENTE (RIO BRANCO),SANTOS (PONTA DA PRAIA),como eu faco pra chegar em santos saindo de sao vicente?
943,SAO VICENTE (PARQUE DAS BANDEIRAS GLEBA II),SANTOS (PONTA DA PRAIA),como eu faco pra pegar um onibus saindo de sao vicente e ir pra santos?
944,SANTOS (JARDIM RADIO CLUBE),SANTOS (BOQUEIRAO),"oi, como eu faco pra chegar do jardim radio clube em santos?"
945,SAO VICENTE (PARQUE DAS BANDEIRAS),CUBATAO (USIMINAS),"oi, como eu faco pra chegar do parque das bandeiras em cubatao?"
947,SAO VICENTE (HUMAITA),SANTOS (PONTA DA PRAIA),como eu faco pra ir de sao vicente (humaita) em humaita pra ponta da praia?
947VP1,SAO VICENTE (RIO BRANCO),SANTOS (PONTA DA PRAIA),"oi, como eu faco pra ir de sao vicente (rio branco) para santos?"
948,SAO VICENTE (PARQUE DAS BANDEIRAS GLEBA II),SANTOS (PONTA DA PRAIA),como eu faco pra ir do parque das bandeiras gleba ii pra ponta da praia?
949,GUARUJA (FERRY BOAT),SANTOS (CARUARA),"oi, tudo bem? to em guaruja e quero saber como ir de ferry boat para caruaru."
949DV1,GUARUJA (FERRY BOAT),SANTOS (CARUARA),"oi, como eu faco pra sair do ferry boat em guaruje e chegar em caruaru?"
950,SAO VICENTE (PARQUE DAS BANDEIRAS GLEBA II),CUBATAO (CENTRO),como eu faco pra chegar no cubatao a partir do parque das bandeiras gleba ii?
951,GUARUJA (CENTRO),SANTOS (MONTE CABRAO),"oi, como eu faco pra chegar em santos saindo de guaraju?"
952,SAO VICENTE (NAUTICA III),SANTOS (PONTA DA PRAIA),"oi, como eu faco pra ir de sao vicente (nautica iii) em santos?"
953,SAO VICENTE (TERMINAL BARREIROS),SANTOS (TERMINAL PORTO),"oi, como eu faco pra chegar no terminal barreiros em santos?"
954,CUBATAO (RESIDENCIAL VALE VERDE),SANTOS (PAQUETA),"oi, como eu faco pra chegar em pacotes saindo da residencial vale verde?"
955,PERUIBE (TERMINAL RODOVIARIO DE PERUIBE),PRAIA GRANDE (TERMINAL RODOVIARIO E URBANO TATICO FRANCISCO GOMES DA SILVA),como eu faco pra ir do terminal rodoviario de perubie ate a praia grande?
961,SANTOS (CARUARA),BERTIOGA (RIVIERA DE SAO LOURENCO),"oi, como eu faco pra chegar em bertoga saindo de caruaru?"
